Genus,lfc_(Intercept),lfc_CompartmentRoot,lfc_Distance,lfc_CompartmentRoot:Distance,se_(Intercept),se_CompartmentRoot,se_Distance,se_CompartmentRoot:Distance,W_(Intercept),W_CompartmentRoot,W_Distance,W_CompartmentRoot:Distance,p_(Intercept),p_CompartmentRoot,p_Distance,p_CompartmentRoot:Distance,q_(Intercept),q_CompartmentRoot,q_Distance,q_CompartmentRoot:Distance,diff_(Intercept),diff_CompartmentRoot,diff_Distance,diff_CompartmentRoot:Distance
Mariniblastus,0.3329300829202575,-0.3952618166456407,0.0020946293060809845,-0.003323658139274656,0.14570353923050275,0.22238209965650577,0.005132287531398307,0.007423829777350375,2.2849828128990244,-1.7773994276345404,0.40812781693669,-0.4477012861225513,0.02231383556538268,0.0755025448941108,0.6831798388035082,0.6543687933491447,0.04020422355172474,0.10722410021420596,0.948461394436235,0.9458327792878952,TRUE,FALSE,FALSE,FALSE
Thermogutta,1.5696153965504007,-3.096321285924555,0.006284179657624492,-0.005226344763444002,0.12052914199116804,0.18613317781305755,0.004158905152046822,0.006026174183586314,13.022704473125817,-16.634977827726868,1.5110177866238925,-0.8672740953421437,9.089364515921315e-39,3.888997931564635e-62,0.1307839192437642,0.38579184670169764,1.2391833623372728e-36,5.302000513366453e-60,0.3894878950508524,0.8304677121104964,TRUE,TRUE,FALSE,FALSE
Thermostilla,0.7442949017361017,-1.7938790807226348,0.01911982529939393,-0.013825613152297514,0.17421520012702016,0.2633401288299204,0.006238577964164427,0.009011905277007588,4.272273034691788,-6.812023251804592,3.0647729994274058,-1.5341498525923614,1.9349045499002885e-5,9.623554728741134e-12,0.00217835264859879,0.12499279127611938,6.763897101788188e-5,5.17899195270411e-11,0.02407962792640284,0.5444732323124987,TRUE,TRUE,TRUE,FALSE
Bythopirellula,0.5808113895706682,-1.3332507671124116,0.011349423508175678,-0.003399674145012143,0.19123820150829904,0.2877970807057554,0.006898774768473712,0.009959664378479819,3.0371096621375786,-4.632606987683559,1.6451361131603706,-0.3413442477397063,0.002388585406506393,3.6108962272591353e-6,0.09994174474382686,0.7328444410772126,0.005114824247440392,1.102131758917154e-5,0.3285256581857921,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Lacipirellula,0.9651607153220741,-1.9792992574619799,0.012063324539376816,-0.011322746578018954,0.17447530372238365,0.26371375873372116,0.006248669047350591,0.009026391271642654,5.5317898563901595,-7.5054834717991765,1.9305430401201378,-1.2544045828802632,3.16979522335589e-8,6.120229314630065e-14,0.0535395877006416,0.20969498764814926,1.6005509214229124e-7,4.0373770801349943e-13,0.20873142161984082,0.664622884138441,TRUE,TRUE,FALSE,FALSE
Blastopirellula,0.5379492325433074,-1.0524531091417972,0.01163960093738548,-0.012481657511235552,0.1387188050610707,0.21234083053648173,0.004861522060822964,0.007035123416953529,3.877983466671849,-4.956433044378518,2.3942297888935458,-1.7741916909597837,1.0532587323338153e-4,7.179909410612619e-7,0.016655310544532922,0.07603144814157464,3.2389685828912066e-4,2.3682120555972267e-6,0.09594397201005585,0.45730679838094157,TRUE,TRUE,FALSE,FALSE
Pirellula,1.66040523407423,-2.8881029588392924,0.0015145817645583893,-0.01292860528875486,0.15471066082777185,0.23532363182979518,0.00548172046496839,0.007925442097474504,10.732325912062638,-12.272898120696176,0.2762967893451537,-1.6312787513613465,7.17666719478177e-27,1.2663793711775514e-34,0.7823201217082174,0.1028315148545358,1.5448720435082864e-25,2.251952881789646e-33,0.9872668045451263,0.5176306548969548,TRUE,TRUE,FALSE,FALSE
Rubinisphaera,0.49918009524327817,-1.1289821822646433,0.015129292242430606,-0.012707482150150145,0.1574351438545678,0.23923735129356283,0.005587444309004856,0.008077206688045974,3.1707030782428127,-4.71908828684236,2.707730297740576,-1.573252071035503,0.0015207049581290868,2.3690399438094275e-6,0.006774505059558173,0.1156604625254191,0.0034362891042806435,7.396468221511877e-6,0.048962039776527876,0.5331731893817516,TRUE,TRUE,TRUE,FALSE
Planctomicrobium,0.4784852184209996,-0.44899739589609133,-0.0038541419241997017,-0.002042034592818867,0.13806295294030008,0.21139759196529875,0.0048361132990928715,0.006998645338089858,3.465703204449798,-2.123947542268102,-0.7969502957928297,-0.29177569289090455,5.288467209473811e-4,0.03367453030350054,0.4254798987376919,0.7704581312175443,0.001326983489984533,0.052368376023314525,0.7838796332599819,0.947292265026306,TRUE,FALSE,FALSE,FALSE
Gimesia,-0.009568075243846284,-0.011898622371030003,0.012180962175465703,-0.009683616369965913,0.13869560112458096,0.21230746025364344,0.004860623047776376,0.007033832755324723,-0.06898614783933864,-0.05604429706245242,2.5060495446233406,-1.3767197354294871,0.9450006456522833,0.9553065186402379,0.012208851111833311,0.16859891466353646,0.9566961981974847,0.9600008995672168,0.07802218913655976,0.6326326247466644,FALSE,FALSE,FALSE,FALSE
