Genus,lfc_(Intercept),lfc_CompartmentRoot,lfc_Distance,lfc_CompartmentRoot:Distance,se_(Intercept),se_CompartmentRoot,se_Distance,se_CompartmentRoot:Distance,W_(Intercept),W_CompartmentRoot,W_Distance,W_CompartmentRoot:Distance,p_(Intercept),p_CompartmentRoot,p_Distance,p_CompartmentRoot:Distance,q_(Intercept),q_CompartmentRoot,q_Distance,q_CompartmentRoot:Distance,diff_(Intercept),diff_CompartmentRoot,diff_Distance,diff_CompartmentRoot:Distance
Singulisphaera,0.20034134339386728,-0.051083308259277246,0.0025125296015397467,-0.00729960619655093,0.1332409234647089,0.20445983991995945,0.0046494167075902025,0.006730601465405937,1.5036021830555015,-0.24984519345840725,0.5403967335167067,-1.0845399529402497,0.13268382871290155,0.8027070684581488,0.5889234600274922,0.2781254624753884,0.1845839657944787,0.84569285680399775,0.9021336897050348,0.7245434022448016,FALSE,FALSE,FALSE,FALSE
Aquisphaera,0.16767038021311512,-0.03551551004391903,-0.0020496055970043257,0.004306462312481376,0.11718259856308018,0.18129366137327524,0.004030451156009672,0.005841620170592516,1.4308470905162343,-0.19590045109626994,-0.5085300671484945,0.7372034104785986,0.15247404360754033,0.8446880841859331,0.6110816586074139,0.4609986597679008,0.20581479813691086,0.8746263960304977,0.9058220162480508,0.8726768243057421,FALSE,FALSE,FALSE,FALSE
Gemmata,1.7439965057113431,-3.221419167859326,-1.2154584150207058e-4,-0.0024852516438920603,0.15139839930084956,0.23056515236255368,0.005353199723833946,0.007740952060546587,11.519253266646372,-13.971838913426884,-0.022705269329091986,-0.32105245252178677,1.0552149447056087e-30,2.315693023741203e-44,0.9818853726035467,0.7481706417667378,3.3198685568045687e-29,6.31412297806768e-43,0.9996192040310683,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Limnoglobus,1.4489427036119564,-2.6919119621433714,0.0035034245692468517,-0.006408887294379543,0.14341991480471325,0.21909986894460792,0.005043733833845016,0.007296706597370873,10.102799918581038,-12.286232644091317,0.6946093280612445,-0.8783260240570414,5.368705271202889e-24,1.0739547082518921e-34,0.4873001648509473,0.3797668169348759,9.980911163281735e-23,1.9965794348864722e-33,0.8445159636611757,0.8278571263553337,TRUE,TRUE,FALSE,FALSE
Zavarzinella,1.2653645279667778,-2.369628753362574,-2.6371678887687533e-4,0.0037703064686919583,0.17539261067655484,0.2650314501942825,0.006284256500559869,0.009077478026349046,7.2144688598099656,-8.940934185831559,-0.04196467614798673,0.41534735283830504,5.414489566289264e-13,3.8589416065839877e-19,0.9665268576478606,0.6778876411467085,4.921169405805131e-12,3.5870616297564796e-18,0.9996192040310683,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Fimbriiglobus,0.563655689135809,-1.2987425009702307,0.01895140502543882,-0.018892311099339334,0.15991637793718178,0.2428014641989002,0.005683732704237843,0.008215426700397804,3.5246901937537864,-5.348989575723134,3.3343237642594414,-2.2996141026277477,4.239783297155955e-4,8.844663549478593e-8,8.550706627303869e-4,0.021470092406790077,0.001083794605335491,3.380810646482939e-7,0.011870800127388394,0.237331562010193,TRUE,TRUE,TRUE,FALSE
Algisphaera,0.19959158943753363,-0.060095761690687984,-7.051074917035847e-4,-2.6008393497180114e-4,0.10434967603637998,0.16261680713048207,0.0035435824702201245,0.005141424235532758,1.9127188221259925,-0.36955443137232274,-0.1989815384936657,-0.05058597055157248,0.0557840582708927,0.7117145094423545,0.8422771859747642,0.9596554423901991,0.09102847817790849,0.7657092800586629,0.9995885239751118,0.9931126506707044,FALSE,FALSE,FALSE,FALSE
Tepidisphaera,0.37249468817984577,-0.46002944057608386,3.6725273838188844e-4,-5.366537144441705e-4,0.14564517646771197,0.22229822252741555,0.005130024085837086,0.007420580518504552,2.557549087541694,-2.069424736490412,0.07158889163811058,-0.07231964037125235,0.010541267925003693,0.03850624724628868,0.9429290805812212,0.9423475348645617,0.02043307384514934,0.05920697414936868,0.9996192040310683,0.9807128289048491,TRUE,FALSE,FALSE,FALSE
Herpetosiphon,-0.4108394211144583,1.286907548057585,-0.0010477172275366645,-0.0034526579139751608,0.1885674735800535,0.28395941399333713,0.006795231669487133,0.00981101652986972,-2.1787395955116438,4.532012268794797,-0.1541841806867698,-0.3519164302153111,0.029351018517604365,5.842445573083857e-6,0.8774645150194509,0.7249009368946484,0.05152174495150294,1.682788900979787e-5,0.9995885239751118,0.9458327792878952,FALSE,TRUE,FALSE,FALSE
Sulfuricaulis,0.13592443802767604,-0.2747627843277951,0.011165860221365748,-0.009249137831169775,0.1372641602684007,0.21024866826618532,0.004805171356604369,0.006954223046017447,0.9902398248887035,-1.3068467286552878,2.323717385441221,-1.3300030456265826,0.32205691116005736,0.19126477134144432,0.020140646048523808,0.18351726783128133,0.39202760912042695,0.24369872734782158,0.11023929815051249,0.658408443359597,FALSE,FALSE,FALSE,FALSE
Stenotrophomonas,-0.47397776632181277,1.4835962738050386,-0.0019976355660212635,-0.0044455058904118855,0.25631975892326775,0.3814060641297697,0.009417584437266889,0.013576224892920425,-1.8491659336481485,3.889807775317016,-0.21211761671244483,-0.32744786753864674,0.06443385614495716,1.0032365807707186e-4,0.8320152762637983,0.7433291670435924,0.10058567619575373,2.413669185501317e-4,0.9995885239751118,0.9458327792878952,FALSE,TRUE,FALSE,FALSE
Xanthomonas,-0.5942597266726934,1.3904087937389944,-0.002389589874061276,0.011409936613367283,0.19595858082041587,0.2945806340843868,0.007081747480047244,0.010222346720278028,-3.032578232526068,4.719959945977617,-0.3374294100141134,1.1161758572259575,0.0024247423692023568,2.358910877889824e-6,0.7357932173210948,0.26434686661471907,0.0051652064010612704,7.396468221511877e-6,0.9591000911448186,0.7055419900505416,TRUE,TRUE,FALSE,FALSE
Pseudoxanthomonas,-0.8914705732262236,2.3176031494287304,3.565577180827627e-4,-0.008067895214814704,0.18956225648767241,0.28538882303591484,0.0068338006471130395,0.009866386463889919,-4.702785194394421,8.120861653846447,0.05217561010261422,-0.8177153048223349,2.5663637800992863e-6,4.628854475873725e-16,0.9583887667750755,0.4135197692169641,1.0092719096736615e-5,3.442184510240643e-15,0.9996192040310683,0.8545660007368031,TRUE,TRUE,FALSE,FALSE
Tahibacter,-1.1718292378312443,3.0796944028129083,-0.00867367127837742,0.002264699801809557,0.1774305537464933,0.26795897990391093,0.006363315283430416,0.009190969645577663,-6.604438824586626,11.493156168594442,-1.3630742611423,0.24640488317783124,3.99025939884281e-11,1.4279760490691143e-30,0.1728591076785696,0.8053688265264263,2.8631861300468587e-10,2.085865014533099e-29,0.462087418565588,0.960337755245797,TRUE,TRUE,FALSE,FALSE
Luteibacter,0.004413020685118582,0.45970280286704407,-0.004770701514960551,0.0028699119083729933,0.14865922803163056,0.22662950461201148,0.005246931692292434,0.007588404072019916,0.02968548097249377,2.028433162990198,-0.909236444219114,0.3781970334124639,0.9763178913251245,0.04251605831475261,0.3632253307332662,0.7052842290897148,0.9787108273332743,0.06488458153258887,0.6942016835042331,0.9458327792878952,FALSE,FALSE,FALSE,FALSE
Dokdonella,-0.2562967824090134,1.4277328887225937,0.0013806279327805834,-0.028687290489919876,0.21370804534303728,0.32009620928344273,0.00776934946249045,0.011209542946617843,-1.1992846689398802,4.460324262879187,0.17770187059368364,-2.55918467207224,0.23041727432463835,8.183573983128945e-6,0.8589571161103514,0.010491799021996666,0.3001295070024748,2.29252175280804e-5,0.9995885239751118,0.1508994135336351,FALSE,TRUE,FALSE,FALSE
Mizugakiibacter,0.3477390051399253,-0.40483520816349894,-0.00730819197431191,0.014961509250744399,0.16224052813143508,0.24613984068765643,0.005773926058688719,0.00834489753576347,2.1433547409203038,-1.6447366140828126,-1.2657231665297128,1.7928931046336183,0.03208462435870099,0.10002413871713113,0.20561221125210202,0.07299001812239206,0.05560428543520638,0.13728145213190146,0.5191073728525292,0.4523169304857326,FALSE,FALSE,FALSE,FALSE
Aquimonas,-0.3722788289875566,1.4113985541913738,-0.0027697277286966573,-0.00893533136593215,0.19469637620122168,0.29276666183057287,0.007032825925534111,0.010152112600030443,-1.9120994250185772,4.820899160329139,-0.3938285630873637,-0.8801450218258371,0.055863442598178555,1.4291258973663015e-6,0.6937076148349737,0.378780752191033,0.09102847817790849,4.6200841646556905e-6,0.948461394436235,0.8278571263553337,FALSE,TRUE,FALSE,FALSE
Arenimonas,0.189713379090092,0.22630700608181223,-0.006172203270814499,-8.280476376782273e-4,0.16771893995605755,0.2540088371717756,0.005986519681223706,0.008650073264645166,1.131138672470724,0.8909414672402529,-1.0310169513303657,-0.09572723979837812,0.2579967294574547,0.3729605725240818,0.3025328706435224,0.9237372060135848,0.32880779321939235,0.44343277372776,0.6345433030420548,0.9738403471638507,FALSE,FALSE,FALSE,FALSE
Lysobacter,0.8947362567350945,-1.3157093870771843,-0.00774334048518631,0.006272314463016824,0.20564765595408446,0.3085074227435809,0.007457175951133505,0.010761342999128065,4.350821567034369,-4.264757636547207,-1.0383743840735455,0.5828561048119214,1.3562839044038332e-5,2.001193091403431e-5,0.29909579053933755,0.5599901722958478,4.909027583196175e-5,5.246717784512841e-5,0.6345433030420548,0.9244763054316048,TRUE,TRUE,FALSE,FALSE
Luteimonas,-0.6641049663912336,2.4996720879909526,-0.012368662608020923,-0.010788659774599382,0.20648441187375868,0.30971033546324955,0.00748958916662313,0.010807879199445656,-3.216247465679186,8.070999904643369,-1.65144740690732,-0.9982217209785932,0.0012987878440999892,6.972477156925548e-16,0.09864725147489356,0.31817185596720676,0.002984293417061211,5.0923984949688376e-15,0.3285256581857921,0.7669586894342485,TRUE,TRUE,FALSE,FALSE
Geomonas,0.9872202266374063,-1.6895972800781063,-7.924406065113634e-5,-0.0013038732761928534,0.165307744068074,0.25054548060530635,0.005892953623002276,0.008515759874557513,5.9720143917206165,-6.743674944749022,-0.01344725679527136,-0.15311296882482892,2.3434185243600324e-9,1.5442982818114393e-11,0.9892709647718189,0.8783091888269761,1.369225966376076e-8,8.097666631549726e-11,0.9996192040310683,0.9614983139891066,TRUE,TRUE,FALSE,FALSE
Erwinia,-0.20637031102476963,1.2044214554040489,-0.0036694764806369665,-0.013059698233540359,0.24864718549738604,0.37036141172270304,0.009121047320873018,0.013150402708827658,-0.8299724391086628,3.252016590502207,-0.4023086770133919,-0.9931025325006655,0.4065543664581698,0.001145893330787279,0.6874568695823478,0.3206599899590623,0.47781820655572255,0.0023433518614599854,0.948461394436235,0.7669586894342485,FALSE,TRUE,FALSE,FALSE
Pantoea,-0.8230494752941208,1.7538167677086545,0.00995601894298461,-0.00903053119636257,0.27582192368920316,0.40948885350761627,0.01017090818480646,0.014658032229922673,-2.983988597735744,4.282941410213586,0.9788721677634592,-0.6160807299855562,0.002845173741558559,1.8443875050891477e-5,0.3276431457143177,0.5378412395372001,0.005906985077652033,4.9304215005324275e-5,0.6599369666045977,0.914190018676279,TRUE,TRUE,FALSE,FALSE
Klebsiella,-0.5382320706647371,0.816258416830867,0.009933889102081279,0.00646690444788376,0.27759211274073403,0.4120385303676324,0.01023925899324057,0.014756190244791799,-1.9389314247823606,1.9810244835660835,0.9701765634250602,0.4382502760267852,0.052509688863183725,0.04758852796961168,0.33195849068769756,0.6612048667928141,0.08694924188276171,0.07208780718359696,0.6599369666045977,0.9458327792878952,FALSE,FALSE,FALSE,FALSE
Woeseia,1.5259370617566472,-2.6773121344308417,-0.0073984511615396795,0.008214719332277541,0.1490337535987865,0.2271676551448969,0.005261460577877939,0.007609260423882839,10.238868879761423,-11.785622089214865,-1.406159193256492,1.0795686932325743,1.3277959003559679e-24,4.6298899855961726e-32,0.15967685846787555,0.28033428883290634,2.7153426162279545e-23,7.013425941143832e-31,0.44731393913261025,0.7256754691940424,TRUE,TRUE,FALSE,FALSE
Thioprofundum,0.09931911843703721,-0.21113774247428574,0.014229935845597596,-0.014985864193821762,0.13586022855624444,0.20822904396265582,0.004750801981094773,0.006876165324012655,0.7310389471037901,-1.0139687454558528,2.9952702516804237,-2.1793926538515236,0.46475536405538587,0.3105976661578144,0.00274201780045375,0.029302511397536143,0.5354505461933883,0.37695681144969173,0.026081053032222874,0.29961768995804905,FALSE,FALSE,TRUE,FALSE
Desulfobulbus,-0.13423777206229753,0.1283225650036726,0.02024334854962126,-0.020999276897845434,0.1373776898760283,0.21041196837041928,0.004809568709311341,0.006960536210559552,-0.9771439029396675,0.6098634312367983,4.208973771479774,-3.0169050576862553,0.32849791532844547,0.5419522784925621,2.5653316203171895e-5,0.002553697815173082,0.39524822738136195,0.6072835120642682,8.743505272581088e-4,0.08060867888523286,FALSE,FALSE,TRUE,FALSE
Marimicrobium,0.730736113561331,-1.0454774479820754,-0.0071591076920404185,0.008076867933916952,0.17842024094359177,0.2693807146138595,0.006401706341348199,0.009246081642999403,4.09558976995416,-3.8810404430053667,-1.1183124170817105,0.873544950798946,4.2109501439280777e-5,1.0401054111582168e-4,0.2634335855012387,0.38236611644332574,1.423370751129408e-4,2.487737503881349e-4,0.60449661451896,0.8278571263553337,TRUE,TRUE,FALSE,FALSE
Desulfocapsa,0.23821331049146188,-0.8446800353949819,0.027877145347111783,-0.02755213692426452,0.20624838075557525,0.30937101625456875,0.007480446231474018,0.010794752515618523,1.154982694258183,-2.7303140598663234,3.726668768745178,-2.5523639272322702,0.248097513341922,0.006327401550130947,1.9402717054054096e-4,0.0106994694192553,0.31909397156240915,0.011472657448608755,0.00440872848617118,0.1508994135336351,FALSE,TRUE,TRUE,FALSE
Desulfuromonas,0.363869506887181,-1.4646414363061324,0.03984728786181584,-0.03608692963511971,0.17921652415377895,0.2705246337840845,0.006432593911456554,0.009290422213617727,2.0303345832941067,-5.414077881998413,6.194590924020119,-3.884315352452353,0.042322541176351036,6.160534967863611e-8,5.843659982868492e-10,1.0261864545002912e-4,0.07065273200460234,2.399675049386873e-7,5.975142332483032e-8,0.008394205197812381,FALSE,TRUE,TRUE,TRUE
Sulfuritortus,0.6938469311877734,-1.163883803593026,0.0031919165024917873,-0.004490183855105594,0.18767380713409443,0.2826753304212946,0.006760581477483302,0.009761272639552857,3.6970898698293806,-4.117387257877767,0.47213638547553044,-0.45999984027812996,2.180851534947027e-4,3.831918799705182e-5,0.6368294427771787,0.6455163351459565,5.986364280492175e-4,9.674412278268022e-5,0.9198149084603033,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Achromobacter,-0.006725591766466484,0.19657770694205268,3.4742404207695313e-4,0.005035931330943904,0.1360273612585215,0.20846949456890157,0.00475727351687611,0.006885456565279073,-0.0494429334234046,0.9429567014040103,0.07303007507230551,0.7313866964666261,0.9605663140570513,0.34570305042636973,0.9417821849559952,0.4645429888497638,0.967664094702793,0.4170871611338797,0.9996192040310683,0.8726768243057421,FALSE,FALSE,FALSE,FALSE
Methylophilus,-1.9064403535091015,4.925319724816349,-0.0077518034518505,-0.014212432727932942,0.1767806315803838,0.26702534806440686,0.00633810325719666,0.009154776818742721,-10.784215083213034,18.44513923685011,-1.2230478326538212,-1.5524608638012454,4.087175387363686e-27,5.705189194146068e-76,0.2213116304450808,0.12055199002910803,9.286970741287486e-26,1.1667111902028708e-73,0.5420147116888506,0.5405290854088929,TRUE,TRUE,FALSE,FALSE
Massilia,-0.9276587843151992,1.9122406103752243,0.009061501035710597,-0.004675292782615374,0.19036729381936268,0.2865456123659104,0.006865011542695796,0.00991119325208685,-4.872994544931882,6.673424850537752,1.3199542315921977,-0.47171845646647725,1.0991925927479858e-6,2.4990157797073703e-11,0.18685029933374706,0.6371277615074706,4.732313372988696e-6,1.277621817375393e-10,0.4806400781603934,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Nitrosospira,1.9513789156821335,-3.2134022900747583,-0.012143770780343647,0.0028549742229412732,0.1266660724902831,0.19498956286235972,0.004395317843187974,0.006365734229599761,15.405695284598242,-16.479868167831384,-2.762887967058972,0.4484909548479181,1.4986845426570712e-53,5.1196373195603174e-61,0.005729242785156939,0.6537989126252937,3.0648098897337106e-51,5.234829159250424e-59,0.04339370924313311,0.9458327792878952,TRUE,TRUE,TRUE,FALSE
Aromatoleum,0.2671899617093715,-0.3058119362414042,0.0011921017668222505,5.547439097230047e-4,0.14896843083405054,0.22707379455250146,0.005258926499205228,0.007605622732815735,1.793601236271453,-1.3467513362520471,0.2266815797867513,0.0729386572554367,0.07287683908211769,0.17806033246846603,0.8206713514948627,0.9418549318114071,0.11039491549846717,0.22901470433837298,0.9995885239751118,0.9807128289048491,FALSE,FALSE,FALSE,FALSE
Sterolibacterium,1.3695600969955373,-2.654277266286451,0.004763022583779097,-0.0034204693260329057,0.11211660823852414,0.17394835859091756,0.0038369106054272424,0.0055634438282702306,12.215497048232555,-15.258995760509809,1.2413691830718925,-0.614811514524878,2.569264039670497e-34,1.4343887117165188e-52,0.2144693979768304,0.5386792041588833,1.501184274607476e-32,7.333312288650702e-51,0.5316241440759009,0.914190018676279,TRUE,TRUE,FALSE,FALSE
Propionivibrio,0.3963214884466969,-0.35684059833533477,-0.007249866101837197,0.00830479800559784,0.13261049731411764,0.20355238850902949,0.00462502613306413,0.0066955814332837526,2.9886132430973453,-1.753065149218357,-1.5675297594554525,1.2403400792520674,0.0028024662616598158,0.0795908248349024,0.11699091578451527,0.2148496340055008,0.00584800357662686,0.11186476755146076,0.37092468647958715,0.664622884138441,TRUE,FALSE,FALSE,FALSE
Methyloversatilis,0.8457204081873103,-1.0923710603049974,-0.014973281797143101,0.01564900779474763,0.14969242237988256,0.22811406166479156,0.005287013065074962,0.007645941171769712,5.649720905986008,-4.78870549379026,-2.8320871563669576,2.0467078471028235,1.6070854254052228e-8,1.6786061578716722e-6,0.004624524154332239,0.04068677832497442,8.426896653727387e-8,5.322092392011735e-6,0.03708687017886051,0.3540615390407349,TRUE,TRUE,TRUE,FALSE
Polaromonas,-1.1826793834267135,3.1527518362608453,2.900376590470636e-4,-0.01828442966385371,0.1925550070301405,0.2896893456875147,0.0069498216513637,0.010032948603684796,-6.142033913673248,10.883216394370576,0.0417331082143888,-1.8224382867005215,8.147145693090979e-10,1.3858493601446753e-27,0.9667114604054938,0.06838850967408105,5.048761497688198e-9,1.7176132978762796e-26,0.9996192040310683,0.4370941107597031,TRUE,TRUE,FALSE,FALSE
Variovorax,-0.6459280731713453,1.6523422837755044,0.014656401415658576,-0.030270958421910913,0.1962830565890014,0.29504696341629144,0.007094323254128636,0.01024040116625292,-3.290798932909727,5.600268732283682,2.065933689605853,-2.956032476703,9.990329257096872e-4,2.140197611343145e-8,0.038834741249824035,0.003116242759403907,0.0024035556859721297,8.581772774895552e-8,0.1745429579250333,0.08236116442131848,TRUE,TRUE,FALSE,FALSE
Pelomonas,-0.1529947927516375,0.2652576800474545,-6.296898462914753e-4,0.01730961813664071,0.14986597290079062,0.2283634220920917,0.0052937459892703105,0.007655606307072791,-1.0208774533023457,1.1615594021904458,-0.11894976592525772,2.261038178079881,0.3073125025396314,0.24541448091272225,0.9053151541023724,0.023756893035372952,0.37846733099769403,0.3041652202827376,0.9995885239751118,0.2556991908280931,FALSE,FALSE,FALSE,FALSE
Rhizobacter,-1.4197976614470549,2.942228122359201,0.008118844632151527,-0.0034174995060820804,0.2018705624228688,0.30307787604869313,0.0073108455925069,0.010551256201976876,-7.033208033932806,9.707828762421762,1.1105205997610959,-0.3238950358765604,2.018380777861129e-12,2.7922149931109875e-22,0.2667747563657885,0.7460175023767301,1.6847300778473505e-11,3.0865295464389027e-21,0.60449661451896,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Acidovorax,0.4759308925820092,-0.23562237456806043,-0.009916936636428612,0.0011626687460218916,0.2507381928298589,0.3733711934144806,0.009201872295800417,0.013266464866572068,1.8981188593991234,-0.6310673633209171,-1.0777085703476388,0.08763968078274605,0.05768042632720173,0.5279964796251213,0.2811638325852001,0.930163062797063,0.09251487987382552,0.5932707696886665,0.6216000406883614,0.9754786991897404,FALSE,FALSE,FALSE,FALSE
Azohydromonas,0.8750287384014616,-2.123891722906822,0.008055171018003545,0.011445579018895643,0.18665105527428236,0.2812058027001442,0.006720924379359439,0.009704341058731528,4.688046028540333,-7.552801907048743,1.1985212990554834,1.1794287679736304,2.758259887958802e-6,4.259926729031218e-14,0.2307141362597212,0.23822748545103883,1.0744078992144286e-5,2.8562459543832266e-13,0.5616790579180116,0.664622884138441,TRUE,TRUE,FALSE,FALSE
Caldimonas,-0.24232128444066225,1.2012176108392918,-0.0020740690396079385,-0.01290696591450319,0.17465633458812005,0.26397380420082117,0.006255692338082287,0.009036473383335204,-1.3874176680285417,4.550518239777502,-0.3315490800245708,-1.4283189212182967,0.1653144405665913,5.3513947755373614e-6,0.7402297747474661,0.15320008415381367,0.22095949735861387,1.5522840164501994e-5,0.9591000911448186,0.596750803989617,FALSE,TRUE,FALSE,FALSE
Piscinibacter,0.8085680190511598,-1.7058636486281684,0.005282693408569382,0.004713060972500134,0.20138105841280873,0.3023742612003198,0.007291879307025247,0.010524026527279766,4.015114556572076,-5.641563676274852,0.7244625406073101,0.4478381881956695,5.9416928051200865e-5,1.6851269585879133e-8,0.4687818164860614,0.6542699806971228,1.9135057931449727e-4,6.823929961014421e-8,0.8228831027587944,0.9458327792878952,TRUE,TRUE,FALSE,FALSE
Pseudorhodoferax,-0.8723600346899499,2.1087733887199693,0.0034490937974765113,-0.006911135913501129,0.1886971657974124,0.2841457674035901,0.0068002601074663065,0.009818235382247416,-4.623069090642975,7.421449237090855,0.5072002751320642,-0.7039081509491326,3.7810371686077597e-6,1.158456545520272e-13,0.6120143019954365,0.48148997507074487,1.44527495510334e-5,7.403261361215489e-13,0.9058220162480508,0.8806068063653146,TRUE,TRUE,FALSE,FALSE
Ramlibacter,-0.5162713712094004,1.4006504106694864,0.012727941801543817,-0.027022653112353953,0.21824122832246176,0.3266149951986862,0.007944858382397602,0.011461535030719953,-2.36559964025947,4.288383666577965,1.6020350758854904,-2.3576818497632366,0.018000898707515804,1.799780201833307e-5,0.109147853292987,0.01838944587352,0.033618116764264676,4.8749013413895534e-5,0.3487614999752475,0.22121421653734352,TRUE,TRUE,FALSE,FALSE
Aquabacterium,0.5186688449781574,-0.6967995408144578,0.0022029995385819505,-0.007139784367886235,0.18522167255726224,0.27915207378522666,0.006665496916544856,0.009624770017388437,2.8002600225835246,-2.4961288353192024,0.3305079225396901,-0.7418135035940866,0.005106145766694846,0.012555699003405082,0.7410162073392731,0.4582003378500389,0.01033868128009006,0.021667851866635775,0.9591000911448186,0.8726768243057421,TRUE,TRUE,FALSE,FALSE
Hydrogenophaga,-0.99790015838052,2.4233918560060648,0.004457174773695002,-0.011429931216925994,0.19378675240136164,0.2914594388495514,0.006997567990464615,0.010101494869804573,-5.1494756272798154,8.314679619132173,0.6369605525474944,-1.131508886975965,2.612157133280541e-7,9.20004649214509e-17,0.5241505388487819,0.25784096507708665,1.2280141005882083e-6,7.679222480178247e-16,0.8717342775693976,0.698390428586281,TRUE,TRUE,FALSE,FALSE
