Genus,lfc_(Intercept),lfc_CompartmentRoot,lfc_Mean_ISC,lfc_CompartmentRoot:Mean_ISC,se_(Intercept),se_CompartmentRoot,se_Mean_ISC,se_CompartmentRoot:Mean_ISC,W_(Intercept),W_CompartmentRoot,W_Mean_ISC,W_CompartmentRoot:Mean_ISC,p_(Intercept),p_CompartmentRoot,p_Mean_ISC,p_CompartmentRoot:Mean_ISC,q_(Intercept),q_CompartmentRoot,q_Mean_ISC,q_CompartmentRoot:Mean_ISC,diff_(Intercept),diff_CompartmentRoot,diff_Mean_ISC,diff_CompartmentRoot:Mean_ISC
Dokdonella,-0.10122919436731803,0.13897450710798084,-0.0027475974485397636,0.018880184471628703,0.18979798903653355,0.3064165236967989,0.00414919326650722,0.005985195557020028,-0.5333523019984832,0.4535476919824892,-0.662200401875395,3.1544808004617595,0.5937897289132634,0.6501544095566365,0.5078427966954349,0.0016078395723275597,0.6830666004521397,0.7053399297312051,0.8900353885179895,0.0742558612972035,FALSE,FALSE,FALSE,FALSE
Mizugakiibacter,0.13576903536772555,0.28977630244158675,0.0020347433945804815,-0.0082934935983409,0.14417030600658073,0.24182117959638666,0.003115157696751492,0.004497226055502735,0.9417267614145752,1.198308199989926,0.6531750853904847,-1.844135361662132,0.34633255009621805,0.23079705547685841,0.513643410315705,0.06516341559070277,0.43584619381339446,0.2904492175078003,0.8900353885179895,0.44419728294329053,FALSE,FALSE,FALSE,FALSE
Aquimonas,-0.4526986219058573,1.035157307153383,0.0011938219014401602,0.006149829089030428,0.17331423508215973,0.28305811220764304,0.003775780342198537,0.0054478415009783406,-2.6120106158115357,3.6570487207730062,0.31617885397036344,1.128856096111831,0.009001145907796158,2.5513590029694423e-4,0.7518667571710407,0.2589585440772528,0.01761468266166808,5.610246409755386e-4,0.9710243414783,0.7304416863972165,TRUE,TRUE,FALSE,FALSE
Arenimonas,-0.0011730984411641257,0.24011643623727927,0.0021504550726377755,4.932321066852759e-4,0.14959311916968634,0.24949203151510055,0.003238106045291421,0.004674141978104213,-0.007841927808413819,0.962421263633609,0.6641089088990105,0.1055235611147024,0.9937431110035672,0.3358380367007776,0.5066206085828067,0.9159603752922575,0.9986263695342972,0.3935752349874443,0.8900353885179895,0.9712231549161072,FALSE,FALSE,FALSE,FALSE
Lysobacter,0.6131887640149652,-0.9845598637792364,0.003684254781511976,-0.0037949985854727995,0.18340725601659855,0.2973564246935486,0.004004444683142885,0.005776894998028792,3.343317910821756,-3.3110428496505837,0.9200413722834576,-0.6569270493522453,8.278300269441988e-4,9.294897443253819e-4,0.3575511396183626,0.5112278246048356,0.0019458763277021686,0.0018562939618194845,0.7457779898085023,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Luteimonas,-1.350726460306141,2.330150032853235,0.012005171021403917,-8.593398987487123e-4,0.18276448343922244,0.29644546295804053,0.0039898844048935,0.005755942184270908,-7.390530342047116,7.8602991916359635,3.008901963846335,-0.14929613106556294,1.462443218772287e-13,3.832170090566985e-15,0.0026219370641414326,0.8813199680229178,9.968987941297755e-13,2.612262611736495e-14,0.028598588670543133,0.961226311790329,TRUE,TRUE,TRUE,FALSE
Geomonas,0.7770631424829707,-1.4880114305782837,0.006416288505744297,-0.0048919824968332555,0.14632773662175383,0.24487312096778296,0.003164072270543693,0.004567611381112767,5.310429590608788,-6.076662986518866,2.0278577595959164,-1.0710154802270995,1.0936713124416361e-7,1.227092762698224e-9,0.04257476731459178,0.28416246919962057,4.1037758420975153e-7,5.630409349003162e-9,0.20485976272550632,0.7501756632463967,TRUE,TRUE,FALSE,FALSE
Erwinia,-0.28834713559840414,1.1553778835351098,6.851426905791841e-4,-0.005285640451610751,0.22276717032834203,0.3532424288848837,0.0048954871041788075,0.007059195498100367,-1.2943879260727789,3.270778901567427,0.13995393634973394,-0.7487596076681995,0.1955314590417295,0.001072517267721771,0.8886963855559824,0.45400210928461576,0.2782464822153729,0.00210894020431829,0.9890336442413279,0.8452855625736229,FALSE,TRUE,FALSE,FALSE
Pantoea,-0.3422572954957894,1.4920758178213118,-0.006461653633927594,0.0032221406437650565,0.24634500494937125,0.38681334217786567,0.005428786200677483,0.007826713117958052,-1.3893413246439887,3.857353547890861,-1.1902575262811446,0.4116850324272133,0.16472898334434394,1.1462131354652251e-4,0.23394518916877532,0.6805702970215987,0.23891544038239954,2.7255882116585873e-4,0.5628446021766418,0.8919094979322574,FALSE,TRUE,FALSE,FALSE
Klebsiella,-0.418490529797049,1.45498082757193,0.003468635130462931,-0.011835031362630173,0.2485685508050111,0.3899825627743562,0.005479064483979995,0.007899074528012931,-1.6836020825713092,3.730886881764971,0.6330706894588898,-1.4982807568986642,0.09225859599008679,1.908068872508438e-4,0.5266874818489395,0.13406032151909963,0.13975468799979815,4.3116031428505586e-4,0.8900353885179895,0.5833050159714016,FALSE,TRUE,FALSE,FALSE
Woeseia,1.3757169882466533,-2.3827750068348013,2.787317909334853e-4,-0.001554561546684315,0.1329798064217438,0.2259818416038278,0.0028614588120541486,0.004132166262343053,10.345307496414787,-10.544099428183616,0.09740898235518994,-0.37620982506227507,4.395030969491811e-25,5.408855483622689e-26,0.9224016117652815,0.7067609117222724,7.815511593574569e-24,5.9789780886531885e-25,0.9890336442413279,0.9043437621973758,TRUE,TRUE,FALSE,FALSE
Thioprofundum,0.7800988429399414,-0.8441653605394578,-0.009349611094973346,0.00972960700375056,0.12037453402495604,0.20809145332471773,0.0025758691053714635,0.003721200155526451,6.480596990541299,-4.056703661068551,-3.6296918486566683,2.6146422114115166,9.136040186455113e-11,4.9770164559204614e-5,2.8375976721324776e-4,0.008932096763265554,4.729924602860939e-10,1.2643476586779307e-4,0.005058954484892782,0.15221781567398382,TRUE,TRUE,TRUE,FALSE
Desulfobulbus,0.7190827116948028,-0.6772458123156958,-0.010415302449787875,0.01079529835856509,0.12283027193344591,0.21158384489970072,0.002631477118620805,0.003801223474887564,5.854279245465067,-3.200838951748597,-3.957968084193977,2.839953617534787,4.790830866309925e-9,0.001370280971220698,7.559005485666424e-5,0.004512009376842036,2.041093567000791e-8,0.0026561370484799313,0.001717574024243093,0.15127833810758956,TRUE,TRUE,TRUE,FALSE
Marimicrobium,0.5364663564607273,-0.7241750043781996,0.001638645373512442,-0.0023822450988250253,0.15913725861108927,0.26299279103399537,0.0034544746069231735,0.0049854868774535585,3.3710921071713393,-2.7535926043105503,0.47435444169379737,-0.477835998244931,7.487082077589507e-4,0.005894509169950571,0.6352471750118178,0.6327669373024473,0.0017907699238211162,0.01066749668367161,0.942100412315744,0.8807261466002708,TRUE,TRUE,FALSE,FALSE
Desulfocapsa,1.3033023991267052,-1.8226559058352116,-0.011568060705846692,0.011544195196087733,0.1856410809569757,0.30052269889386357,0.004055043638528117,0.005849709123292513,7.0205495055739275,-6.064952539504924,-2.852758622850633,1.9734648258185654,2.209973384615058e-12,1.3199262332665505e-9,0.004334152885285035,0.04844262820604338,1.3099697308805197e-11,5.932415707758452e-9,0.04122484953678091,0.412771561172328,TRUE,TRUE,TRUE,FALSE
Desulfuromonas,1.8300374110262598,-2.7083792060993805,-0.015276437277939765,0.013691247303163144,0.16435947243695054,0.27038192339523254,0.003572845012065896,0.005155818759911011,11.134359242533314,-10.016864929762296,-4.275706678109331,2.6554942950320957,8.535663082238069e-29,1.2851489996845203e-23,1.9053194791775607e-5,0.007919227302356873,1.6624220003025573e-27,1.2820144899291924e-22,5.994428207566325e-4,0.15221781567398382,TRUE,TRUE,TRUE,FALSE
Sulfuritortus,0.5772295280768244,-1.0473947295914356,0.005845350964293014,-0.0044982236447853015,0.1667011972460202,0.27369605603231695,0.0036259189047391687,0.005232191248836063,3.462659762574711,-3.8268535717144694,1.6121019575625344,-0.8597207997291695,5.348642731588434e-4,1.297916697647018e-4,0.10693975484213267,0.38994296635888,0.0013099370522273472,3.050850168607071e-4,0.3644863310869355,0.8438448319618091,TRUE,TRUE,FALSE,FALSE
Achromobacter,0.04936407063100888,0.3988235389937761,-6.549752781327076e-4,-9.062796952430583e-4,0.12137606152553239,0.20951630518020428,0.002598545361234364,0.0037538329082258655,0.4067035131192222,1.9035441592517073,-0.2520545871177637,-0.2414278198843389,0.6842257599321796,0.05696957728620818,0.8009988710817247,0.8092235531909296,0.7583965740169687,0.08403101193281977,0.9890336442413279,0.9255799279667993,FALSE,FALSE,FALSE,FALSE
Methylophilus,-2.170287200354668,4.220221615184621,0.003191565543022585,0.011754613721936253,0.15595317358855704,0.2584883635082255,0.0033822946786130127,0.004881622642771171,-13.916274676656606,16.326543902817996,0.943609545082973,2.4079316616868733,5.045237394206275e-44,6.390337429194004e-60,0.34536921276477606,0.016043183775088427,4.1270041884607325e-42,8.712160028467827e-58,0.7372115226180057,0.20881988940507418,TRUE,TRUE,FALSE,FALSE
Massilia,-0.6935516976134731,1.9493699967803462,-2.1594628092514172e-4,-0.0023100983464753324,0.17019364088051706,0.2786397250813512,0.0037050666244210807,0.005346084248587715,-4.075074098099676,6.996023256236027,-0.058284047984935625,-0.432110351999334,4.59996977894359e-5,2.6332984526551658e-12,0.9535223737772773,0.665661211198247,1.3249208729492452e-4,1.4360254228479503e-11,0.9890336442413279,0.8919094979322574,TRUE,TRUE,FALSE,FALSE
Nitrosospira,1.3872441038529189,-2.92037426644587,0.008769574052839506,-0.004980194831683288,0.11200488953896914,0.19614512135890375,0.0023865497070852198,0.003448737938327991,12.38556735838094,-14.888844780912027,3.6745826105378323,-1.4440629936926357,3.128644359247966e-35,3.8944026533079246e-50,2.3823855427231307e-4,0.14872125647766343,9.843196484095524e-34,2.6546844753382356e-48,0.004639979461779811,0.6180151119834432,TRUE,TRUE,TRUE,FALSE
Aromatoleum,0.16313520034422527,-0.10004370575654428,0.004273435448062621,-0.00381828867015497,0.13230784038007737,0.225029887642196,0.0028462273715025243,0.004110248762064905,1.2329972273418637,-0.44457963697522995,1.5014385325817006,-0.9289677805867741,0.21757679862436496,0.6566235658954025,0.13324217384538176,0.3529057840527897,0.29862050549451435,0.7104736466963483,0.41920037771354723,0.80993432222672,FALSE,FALSE,FALSE,FALSE
Sterolibacterium,1.5256806955850826,-2.679005165595846,-7.031303523086642e-4,1.0269658255653905e-4,0.10059312913623171,0.1796592424329527,0.0021294124646044897,0.003078574788942616,15.166847961542949,-14.911591128386439,-0.33019922818910585,0.03335848228387909,5.862534468854457e-52,2.7707045658576533e-50,0.7412494299788772,0.9733887175595222,1.1988882988807365e-49,2.2664363348715603e-48,0.9710243414783,0.9892616610483901,TRUE,TRUE,FALSE,FALSE
Propionivibrio,0.10300146103813873,0.045935453589770546,0.004310995985869937,-0.004492445405935973,0.11801448490792425,0.20473050838790446,0.0025224490297992936,0.0036443233420715418,0.87278660003898,0.22437033909345983,1.7090517726786156,-1.232724153225749,0.3827794047500318,0.8224691483285147,0.08744135980927148,0.21767869732146536,0.46733366132168064,0.8603321781748401,0.30567107830762424,0.6901704039837115,FALSE,FALSE,FALSE,FALSE
Methyloversatilis,0.37534341121810993,-0.5147715699430271,0.004452807806971459,-0.004807132397132392,0.1342270627311546,0.22774845149031053,0.0028897315660840147,0.004172849636427051,2.796331854254242,-2.2602637540432533,1.5409070722114262,-1.1520023044128753,0.0051686298265356265,0.023804886119959266,0.12333940435668732,0.24932012638787227,0.010517261686831201,0.03806964406646286,0.4003636220784533,0.7304416863972165,TRUE,TRUE,FALSE,FALSE
Polaromonas,-1.3473487569397793,2.765196619277586,0.005389867732231944,6.768603850192593e-4,0.17203579079386883,0.28124785931431495,0.0037468111709621807,0.005406154692933927,-7.831793318834196,9.831885035566716,1.438521314872622,0.1252018159790996,4.809597243298658e-15,8.206802144598854e-23,0.15028619412281366,0.9003637796154246,3.7115571179417943e-14,7.628595629865753e-22,0.4394849577784019,0.9640020572322217,TRUE,TRUE,FALSE,FALSE
Variovorax,-0.03418431336164135,0.48993355926018123,-0.007186830133348114,0.014677041010960228,0.17548360392641638,0.28613032222560825,0.0038249349975164456,0.005518575608067864,-0.19480061154873185,1.7122741674120021,-1.878941769733229,2.659570522057028,0.8455490435146981,0.08684615494831176,0.06025244462293813,0.007824034847396324,0.8959314994754184,0.12248302542710175,0.25257008627834804,0.15221781567398382,FALSE,FALSE,FALSE,FALSE
Pelomonas,-0.13862844418515954,1.0936255199118954,-1.0484342604131578e-4,-0.010379725888440083,0.13274084123473082,0.22564332225289696,0.002856042136946092,0.004124371865006353,-1.0443541181121299,4.846700132726196,-0.03670934146420638,-2.5166804129637073,0.2963215830603478,1.2553194803294831e-6,0.9707167602534292,0.011846623141927533,0.3847477062593087,4.074806884561576e-6,0.9890336442413279,0.17945440240919855,FALSE,TRUE,FALSE,FALSE
Rhizobacter,-1.141251660729571,3.005116394577031,-0.002017723260074904,-0.002221889777064732,0.18012666171333142,0.2927075896717161,0.00393012855133159,0.005669951475875041,-6.335828632331254,10.266615901375825,-0.5133987943959917,-0.39187103920000105,2.360690586141796e-10,9.963867243051303e-25,0.6076723887502493,0.6951535024233573,1.149431487776184e-9,1.0449286416430726e-23,0.9363898395593102,0.9025961348925496,TRUE,TRUE,FALSE,FALSE
Acidovorax,0.2584907288195308,-0.3274332527083398,5.861931988359178e-4,0.004569029365821258,0.22425332570180914,0.35535651258108486,0.004929111295097619,0.0071075861046739275,1.1526728890667481,-0.9214218428981977,0.118924723695919,0.6428384121603083,0.24904467321721901,0.3568302290913895,0.9053349940842136,0.5203289555696857,0.33396482408472977,0.41434118545680043,0.9890336442413279,0.8452855625736229,FALSE,FALSE,FALSE,FALSE
Azohydromonas,1.2606367697951828,-1.5322929734349762,-0.00500539889298296,-0.007396070221823645,0.16544012699636243,0.27191126105244234,0.003597337875726909,0.005191063556894821,7.6198972563826715,-5.635268533948101,-1.391417505360551,-1.424769729894775,2.5387771194941922e-14,1.747857624875536e-8,0.16409885933075005,0.1542237750435583,1.8542140033448655e-13,7.148737685740942e-8,0.46227590647504313,0.6184070979687779,TRUE,TRUE,FALSE,FALSE
Caldimonas,-0.2651438650009273,0.9019596292023581,3.396293474015379e-5,0.0016345149589577427,0.1566896787351973,0.2595302289872547,0.003398990928798446,0.004905647878702207,-1.6921590952331684,3.4753548082703403,0.009992063954157063,0.3331904366911379,0.09061564339124425,5.101780810986382e-4,0.9920276191028453,0.7389905365239702,0.1382902915933541,0.001067136127413931,0.9920276191028453,0.9064359121094399,FALSE,TRUE,FALSE,FALSE
Piscinibacter,1.0959693492504563,-1.3423880451643542,-0.0040002233073320745,-0.005387618668382023,0.1784227516561794,0.2902935589460461,0.0038915263918188493,0.005614401925189262,6.14254257978483,-4.62424330060265,-1.0279316917242907,-0.9596068717863312,8.121089797177585e-10,3.7596836268744187e-6,0.30398196066297134,0.337253109249784,3.6905841411618138e-9,1.1142830459359689e-5,0.6868984635975429,0.80993432222672,TRUE,TRUE,FALSE,FALSE
Pseudorhodoferax,-0.7368691885746974,1.8707908443172805,-9.404191361617857e-4,0.003736564123250146,0.16819830724010437,0.27581511490197125,0.0036598482362254483,0.005281015210435154,-4.380954842326748,6.782771295844998,-0.2569557739726603,0.707546555796088,1.1816036037791061e-5,1.178921908727797e-11,0.7972129142187524,0.4792268917638181,3.606536372728764e-5,6.18178282909832e-11,0.9890336442413279,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Ramlibacter,-0.10248982865650678,0.7753914956089812,-0.002916845766412664,0.0020023420712946154,0.19620114406096373,0.3154996361719017,0.004294193797695921,0.006193861654637798,-0.5223712081141642,2.457662091206042,-0.6792534067693261,0.3232784622813322,0.601411898585378,0.013984468676063188,0.4969773131262255,0.7464843636398608,0.6851740014524222,0.023732977960621758,0.8900353885179895,0.9064359121094399,FALSE,TRUE,FALSE,FALSE
Aquabacterium,0.63031106467063,-0.9430513242929688,-0.0010474717134179926,0.003808071466637542,0.16508147822581906,0.2714036913886218,0.0035892092388831423,0.005179366583986012,3.818181612163733,-3.4747181199632897,-0.2918391332749203,0.7352388375852075,1.3443894458311273e-4,5.113904180272139e-4,0.7704096229865601,0.46219404997666486,3.665701888966207e-4,0.001067136127413931,0.9752154339689069,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
