Genus,lfc_(Intercept),lfc_CompartmentRoot,lfc_Mean_ISC,lfc_CompartmentRoot:Mean_ISC,se_(Intercept),se_CompartmentRoot,se_Mean_ISC,se_CompartmentRoot:Mean_ISC,W_(Intercept),W_CompartmentRoot,W_Mean_ISC,W_CompartmentRoot:Mean_ISC,p_(Intercept),p_CompartmentRoot,p_Mean_ISC,p_CompartmentRoot:Mean_ISC,q_(Intercept),q_CompartmentRoot,q_Mean_ISC,q_CompartmentRoot:Mean_ISC,diff_(Intercept),diff_CompartmentRoot,diff_Mean_ISC,diff_CompartmentRoot:Mean_ISC
Mariniblastus,0.4678903914661614,-0.509866384348106,-0.0017561183684704996,0.002589223379693142,0.129747293644447,0.22140108795352734,0.0027881925776762906,0.004026738291587562,3.606166867328615,-2.302908215406459,-0.629841131681825,0.6430076136565428,3.1075334961675675e-4,0.021284007831468887,0.5287985315644779,0.520219159587475,7.993592452405882e-4,0.034681909175580776,0.8900353885179895,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Thermogutta,1.8014972690355409,-3.244625449443017,-0.0018572084418988517,0.00238080979378011,0.10795530728306013,0.19032970126269672,0.0022951222626528696,0.00331714131868824,16.687435887815994,-17.047394221276704,-0.8091980423527219,0.7177293835408853,1.6177085965628574e-62,3.6546691881636204e-65,0.4184012407972774,0.4729241620323994,6.616428159942087e-60,7.473798489794604e-63,0.807198620217389,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Thermostilla,1.4638846303631383,-2.2022232574332272,-0.007420904673400768,0.004366871093002913,0.15636103859990388,0.25906532927090176,0.003391540831390113,0.004894927483235224,9.362208408636384,-8.500648325389719,-2.188062901887315,0.8921217133367417,7.808718063557818e-21,1.88534733193882e-17,0.028665020737809434,0.37232769773357793,1.0645885626650492e-19,1.4828981899288026e-16,0.15843234434816297,0.8367757027624432,TRUE,TRUE,FALSE,FALSE
Bythopirellula,1.2145101904942952,-1.5557366923591534,-0.009818740304481963,0.005683706001644269,0.16943049165749582,0.277559356578883,0.0036877723977843113,0.005321197908925844,7.168191384048101,-5.605059442184611,-2.6625125537523036,1.068125279104983,7.599501731317002e-13,2.081835049462808e-8,0.007755967645403928,0.2854640042698134,4.709388194104021e-12,8.347750345394985e-8,0.06473858708102462,0.7501756632463967,TRUE,TRUE,FALSE,FALSE
Lacipirellula,1.4596456400082756,-2.3423887817849818,-0.005546955467562877,0.004575659739354412,0.1557429393688241,0.2581909690129538,0.003377528715104613,0.004874764616996291,9.372146473694078,-9.072311052318259,-1.6423118603718725,0.9386421907225995,7.107219904296512e-21,1.1651891730386057e-19,0.10052539040234598,0.3479144833298575,1.0023630830542322e-19,9.531247435455794e-19,0.34769963330432785,0.80993432222672,TRUE,TRUE,FALSE,FALSE
Blastopirellula,1.0051628364781076,-1.447072272582937,-0.005055614164833864,0.004707450034781692,0.12405225633335484,0.21332010271829902,0.002659154858184774,0.003841052749390319,8.102737235000554,-6.783571984745741,-1.9012108863358907,1.225562454337263,5.373621864465945e-16,1.172403343296418e-11,0.05727439574053016,0.22036337408876558,4.884025205703492e-15,6.18178282909832e-11,0.2465813458723877,0.6901704039837115,TRUE,TRUE,FALSE,FALSE
Pirellula,1.7832954852074985,-3.354922384304892,-0.001779271134000313,0.006238613251113114,0.1380891175326653,0.2332163167081661,0.002977284274689193,0.004298833821011714,12.914091400328166,-14.38545309204525,-0.5976154676012777,1.4512338719910975,3.7484257349101244e-38,6.385852107442934e-47,0.5500965410861858,0.14671474798001863,1.5331061255782408e-36,3.2647668899302e-45,0.9009632044066692,0.6180151119834432,TRUE,TRUE,FALSE,FALSE
Rubinisphaera,1.11184395552029,-1.56895490597919,-0.006922280476141275,0.005864302249176975,0.14077779714994468,0.23702133714003937,0.0030382412177397994,0.004386547571262585,7.89786442201569,-6.619466942979079,-2.2783840979192824,1.336883312880395,2.8372251351903792e-15,3.604964445376228e-11,0.022703703008560925,0.18126072860886608,2.32085016058573e-14,1.798085924583997e-10,0.1326544932928774,0.6765057204852537,TRUE,TRUE,FALSE,FALSE
Planctomicrobium,0.45683232795042966,-0.5659082002110838,-0.0010894685874744104,0.003366584529688352,0.12312835929591548,0.21200747208092652,0.0026382283538429092,0.0038109387861608966,3.7102120954322184,-2.669284222185659,-0.4129546200530607,0.883400316455835,2.0708568153855755e-4,0.007601309682321812,0.6796398620439299,0.37702001986508826,5.535819852893466e-4,0.013517111565520091,0.9567915144166168,0.8367757027624432,TRUE,TRUE,FALSE,FALSE
Gimesia,0.5883118591807772,-0.3851083322864832,-0.008322489015885127,0.00589846648232212,0.12282964572925165,0.2115829549062332,0.0026314629363045567,0.0038012030659114416,4.789656891769996,-1.8201292843138095,-3.162685250498968,1.5517367475625254,1.6706673036080543e-6,0.06873931894617004,0.001563212421662927,0.12072522610365706,5.555308351021904e-6,0.09934410406001254,0.01937436001394355,0.5508942164650688,TRUE,FALSE,TRUE,FALSE
Singulisphaera,0.22342563562051088,-0.17940814974976896,0.0015812886668015462,4.733993056471479e-4,0.11881717694377701,0.20587418507183136,0.002540615480065288,0.003670466930973331,1.880415284788608,-0.8714455855024846,0.6224037754666089,0.12897522700786526,0.06005150203941076,0.3835109046714579,0.5336763985001929,0.8973772510676908,0.09519792377565503,0.43814513969448676,0.8909128448431791,0.9640020572322217,FALSE,FALSE,FALSE,FALSE
Aquisphaera,0.09401224417931445,0.21799405065755675,0.001449043898707967,-0.0028032118790967684,0.10460638967270992,0.1854947830178238,0.002219644942072005,0.003208489370608106,0.8987237249412565,1.1752031356947121,0.652826887418898,-0.8736858861918171,0.3687998366726348,0.23991345603264985,0.5138678876412375,0.3822893392007031,0.4529703699672901,0.29916037657729816,0.8900353885179895,0.8406254824359547,FALSE,FALSE,FALSE,FALSE
Gemmata,1.8025010526794214,-3.2184160577923935,-0.0010089716194892585,-1.248984897381774e-4,0.13477996712337595,0.22853145262114136,0.00290226523602607,0.004190885050079494,13.373657014097901,-14.083033301888088,-0.3476496934066557,-0.02980241362998212,8.619650725668224e-41,4.829164901434904e-45,0.7281032814276656,0.9762246338248065,5.036338781140434e-39,1.6459403705723965e-43,0.9710243414783,0.9892616610483901,TRUE,TRUE,FALSE,FALSE
Limnoglobus,1.6454563976317376,-2.921314065064864,-0.002587770545098159,0.003835220659563532,0.12771602825435444,0.21852060720109054,0.0027421609130721734,0.003960499339085162,12.883710996357548,-13.368597600392741,-0.9436975535469057,0.9683679584830917,5.559663317590861e-38,9.226399575916446e-41,0.3453242245470282,0.33286063577515385,2.0671839062678745e-36,2.3584983915936415e-39,0.7372115226180057,0.80993432222672,TRUE,TRUE,FALSE,FALSE
Zavarzinella,1.3605444734313092,-2.079286093270713,-0.002106218269502899,-0.004067441657591304,0.15542916849489538,0.2577471163194866,0.003370415561724282,0.004864529085435524,8.753469420226567,-8.06715560182394,-0.6249135250329108,-0.8361429413114801,2.068919651370846e-18,7.195482110319467e-16,0.5320278150489945,0.40307449333881123,2.1697131728478872e-17,5.255271755572611e-15,0.8909128448431791,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Fimbriiglobus,1.3193733716797067,-1.8865515065168734,-0.008519165218507334,0.006135831558134836,0.14312060147835196,0.24033613488208916,0.0030913581734620795,0.004462979887538233,9.218612541111153,-7.849637373266533,-2.7558001177736497,1.374828413470477,3.009692407013766e-20,4.172419243434315e-15,0.005854876412066977,0.16918464701154035,3.970852240221388e-19,2.797572902564975e-14,0.05205748809859552,0.6718108798807767,TRUE,TRUE,FALSE,FALSE
Algisphaera,0.18041713102041596,0.010727210352478726,7.726863518403593e-4,-6.2747447902849e-4,0.09364064546382281,0.16938695152275463,0.001973977278396575,0.0028546924320922667,1.9266967899117957,0.06332961456619451,0.39143629478248004,-0.2198045827895372,0.0540174281630884,0.9495040340740342,0.6954747688138001,0.8260233503667505,0.08732461706997295,0.9541699015633414,0.9609769609623117,0.9332694759668534,FALSE,FALSE,FALSE,FALSE
Tepidisphaera,0.25923244582508603,-0.28900319606725766,0.0040213755061825,-0.0035521870273030717,0.12933741938557516,0.22081999419553672,0.0027789036328135694,0.00401337167560738,2.0043112585405263,-1.3087727726835485,1.447108657780608,-0.8850879794893373,0.045036728596837265,0.19061133243811723,0.14786649357265033,0.37610918210144906,0.07580255965475902,0.24362510927246858,0.4394849577784019,0.8367757027624432,FALSE,FALSE,FALSE,FALSE
Herpetosiphon,-0.6688124055477523,1.3126478973638724,0.007139515883142257,-0.0014571279241884518,0.16667709831983243,0.2736619473866277,0.0036253727336359506,0.0052314053154351335,-4.0126232835202424,4.796603656077082,1.9693191314929734,-0.2785347026905431,6.004770045427892e-5,1.613784648629121e-6,0.048916455601284124,0.780601929672191,1.7174482157902152e-4,5.132199202760774e-6,0.21746554718396965,0.919318867217935,TRUE,TRUE,FALSE,FALSE
Sulfuricaulis,0.6911634671536256,-0.6824792771340931,-0.007770372737750849,0.0070852597904271925,0.12175080823612275,0.21004925132328553,0.0026070311476473333,0.0037660444739271316,5.67686964190979,-3.2491392986861607,-2.9805446493276757,1.8813531915195019,1.3718193176282903e-8,0.0011575477827457852,0.002877362887939016,0.059923889773802266,5.610741009099707e-8,0.0022652490102537137,0.030101732338580867,0.43032150911895917,TRUE,TRUE,TRUE,FALSE
Stenotrophomonas,-0.6532600616056911,1.495211512075152,0.004389943974857484,-0.001658827054556944,0.2288224372789192,0.36185785770886725,0.005032478997839547,0.007256349630270142,-2.8548776482500746,4.1320410216934524,0.8723223637380495,-0.2286035181707732,0.004305341156511169,3.595562306129087e-5,0.38303254069469955,0.8191770898704209,0.008938500167579027,9.248962158533312e-5,0.7699832276183624,0.9306761937694504,TRUE,TRUE,FALSE,FALSE
Xanthomonas,-0.6526274266156918,1.8631232488211014,8.195068068250727e-4,-0.004380268857554994,0.17490123115959832,0.2853055259708896,0.00381173962514284,0.005499587284044846,-3.731405561234533,6.530273966762215,0.21499548432413265,-0.7964722862500667,1.9041439212924967e-4,6.564949377810723e-11,0.8297708392302767,0.4257575774958916,5.123650419793626e-4,3.2350172235235973e-10,0.9890336442413279,0.8452855625736229,TRUE,TRUE,FALSE,FALSE
Pseudoxanthomonas,-0.9536347697814892,2.2008370695213157,0.0026075054700370214,-3.5145139183464163e-4,0.16902834107420053,0.2769900678150713,0.003678658842020259,0.00530808354613184,-5.641863155734694,7.945545076333477,0.7088195948621923,-0.06621059913247877,1.6821978008299708e-8,1.9333873243579123e-15,0.4784364363394406,0.9472101584056687,6.812068322172852e-8,1.3633714063144589e-14,0.8900353885179895,0.9843622071156523,TRUE,TRUE,FALSE,FALSE
Tahibacter,-1.6017324779016275,3.1806769971718576,0.007199876351139452,-6.552491203019588e-5,0.15669265839899998,0.25953444409148557,0.0033990584759634734,0.00490574507642611,-10.222128428142424,12.255317433129118,2.118197260227665,-0.01335677068608129,1.5783657467050363e-24,1.5733206311844522e-34,0.034158365132178646,0.9893431557577381,2.6897982933431663e-23,2.797774513714961e-33,0.17062267875701845,0.9942047928867687,TRUE,TRUE,FALSE,FALSE
Luteibacter,-0.13167577624166976,0.5942774248912115,0.001500393690239119,-4.8673042491208484e-4,0.13245340430584063,0.2252361151571981,0.002849526824007927,0.004114996560531251,-0.9941290443364121,2.638464193348611,0.5265413463028152,-0.11828209762810771,0.3201600468820889,0.008328249494744101,0.5985121324152669,0.9058441418384986,0.40920455992116983,0.014625252679278184,0.935435904605907,0.9648183698227759,FALSE,TRUE,FALSE,FALSE
