Sequence_ID,Population,Compartment,Replicate,DNA_Concentration
S31,P10,Soil,1,63.04
S32,P10,Soil,2,58.333
S33,P10,Soil,3,58.296
S34,P10,Soil,4,61.793
S35,P10,Soil,5,61.832
S36,P12,Soil,1,58.089
S37,P12,Soil,2,59.065
S38,P12,Soil,3,58.317
S39,P12,Soil,4,61.333
S40,P12,Soil,5,62.317
S41,P13,Soil,1,56.272
S42,P13,Soil,2,62.389
S43,P13,Soil,3,61.113
S44,P13,Soil,4,40.881
S45,P13,Soil,5,55.426
S46,P14,Soil,1,61.875
S47,P14,Soil,2,59.981
S48,P14,Soil,3,59.045
S49,P14,Soil,4,59.904
S50,P14,Soil,5,57.981
S51,P15,Soil,1,58.892
S52,P15,Soil,2,62.464
S53,P15,Soil,3,60.955
S54,P15,Soil,4,60.891
S55,P15,Soil,5,61.7
S56,P16,Soil,1,59.972
S57,P16,Soil,2,60.183
S58,P16,Soil,3,50.994
S59,P16,Soil,4,59.312
S60,P16,Soil,5,61.511
S61,P18,Soil,1,63.146
S62,P18,Soil,2,58.174
S63,P18,Soil,3,64.405
S64,P18,Soil,4,56.287
S65,P18,Soil,5,58.358
S66,P20,Soil,1,57.866
S67,P20,Soil,2,61.822
S68,P20,Soil,3,56.025
S69,P20,Soil,4,56.222
S70,P20,Soil,5,60.629
S71,P21,Soil,1,56.829
S72,P21,Soil,2,58.08
S73,P21,Soil,3,58.671
S74,P21,Soil,4,60.347
S75,P21,Soil,5,54.621
S76,P22,Soil,1,56.409
S77,P22,Soil,2,59.596
S78,P22,Soil,3,29.394
S79,P22,Soil,4,59.91
S80,P22,Soil,5,61.201
S81,P23,Soil,1,59.016
S82,P23,Soil,2,57.503
S83,P23,Soil,3,60.895
S84,P23,Soil,4,59.648
S85,P23,Soil,5,62.016
S86,P25,Soil,1,2.66
S87,P25,Soil,2,61.086
S88,P25,Soil,3,64.007
S89,P25,Soil,4,0.726
S90,P25,Soil,5,63.254
S91,P26,Soil,1,55.984
S92,P26,Soil,2,1.647
S93,P26,Soil,3,57.269
S94,P26,Soil,4,54.069
S95,P26,Soil,5,59.285
S96,P28,Soil,1,59.306
S97,P28,Soil,2,60.536
S98,P28,Soil,3,58.273
S99,P28,Soil,4,60.447
S100,P28,Soil,5,60.048
S101,P30,Soil,1,62.179
S102,P30,Soil,2,60.384
S103,P30,Soil,3,59.284
S104,P30,Soil,4,61.726
S105,P30,Soil,5,1.143
S106,P31,Soil,1,55.193
S107,P31,Soil,2,61.572
S108,P31,Soil,3,59.728
S109,P31,Soil,4,61.753
S110,P31,Soil,5,60.871
S111,P32,Soil,1,57.172
S112,P32,Soil,2,69.228
S113,P32,Soil,3,54.385
S114,P32,Soil,4,62.067
S115,P32,Soil,5,54.671
S116,P34,Soil,1,58.03
S117,P34,Soil,2,58.7
S118,P34,Soil,3,57.878
S119,P34,Soil,4,57.972
S120,P34,Soil,5,59.559
S121,P36,Soil,1,59.226
S122,P36,Soil,2,62.821
S123,P36,Soil,3,64.682
S124,P36,Soil,4,62.001
S125,P36,Soil,5,62.183
S126,P37,Soil,1,61.633
S127,P37,Soil,2,62.485
S128,P37,Soil,3,59.459
S129,P37,Soil,4,62.279
S130,P37,Soil,5,58.091
S131,P38,Soil,1,59.047
S132,P38,Soil,2,54.956
S133,P38,Soil,3,59.501
S134,P38,Soil,4,58.311
S135,P38,Soil,5,54.774
S136,P39,Soil,1,60.604
S137,P39,Soil,2,56.762
S138,P39,Soil,3,60.383
S139,P39,Soil,4,56.831
S140,P39,Soil,5,53.054
S141,P41,Soil,1,54.576
S142,P41,Soil,2,61.742
S143,P41,Soil,3,58.819
S144,P41,Soil,4,56.581
S145,P41,Soil,5,56.32
S146,P43,Soil,1,51.486
S147,P43,Soil,2,63.859
S148,P43,Soil,3,55.362
S149,P43,Soil,4,62.311
S150,P43,Soil,5,59.611
S151,P45,Soil,1,56.946
S152,P45,Soil,2,60.915
S153,P45,Soil,3,62.023
S154,P45,Soil,4,59.156
S155,P45,Soil,5,59.165
S156,P46,Soil,1,56.813
S157,P46,Soil,2,60.512
S158,P46,Soil,3,60.318
S159,P46,Soil,4,57.973
S160,P46,Soil,5,62.243
S161,P47,Soil,1,60.075
S162,P47,Soil,2,56.898
S163,P47,Soil,3,55.577
S164,P47,Soil,4,64.384
S165,P47,Soil,5,56.891
S166,P48,Soil,1,59.671
S167,P48,Soil,2,55.538
S168,P48,Soil,3,63.432
S169,P48,Soil,4,57.726
S170,P48,Soil,5,62.649
S171,P50,Soil,1,57.697
S172,P50,Soil,2,54.732
S173,P50,Soil,3,56.087
S174,P50,Soil,4,62.009
S175,P50,Soil,5,57.612
